3.030818223953247070e+00,4.070001602172851562e+00,1.636266469955444336e+00,4.740471243858337402e-01,4.226549267768859863e-01,2.901539802551269531e-01
1.090643882751464844e+00,9.373133778572082520e-01,3.248579800128936768e-01,1.259469240903854370e-01,4.711796715855598450e-02,9.735703468322753906e-03
2.745418787002563477e+00,5.042605876922607422e+00,1.966061830520629883e+00,5.728266835212707520e-01,4.856677055358886719e-01,3.572009801864624023e-01
1.774336695671081543e+00,1.841286301612854004e+00,4.351589083671569824e-01,2.237663269042968750e-01,1.312108337879180908e-01,7.406901568174362183e-02
2.802872467041015625e+01,3.502831649780273438e+01,6.295220184326171875e+01,2.145617866516113281e+01,2.405329942703247070e+00,6.676307320594787598e-01
6.180430603027343750e+01,2.610930175781250000e+02,2.364074707031250000e+02,1.040688323974609375e+02,3.844580841064453125e+01,1.093976783752441406e+01
8.956078290939331055e-01,5.846079587936401367e-01,8.790063112974166870e-02,2.920824475586414337e-02,3.877721354365348816e-02,2.490572258830070496e-02
4.422903954982757568e-01,3.122708797454833984e-01,1.302849799394607544e-01,4.684975743293762207e-02,1.521547138690948486e-02,4.779435228556394577e-03
2.401939868927001953e+00,3.568661212921142578e+00,9.010308980941772461e-01,3.670833110809326172e-01,4.355510771274566650e-01,1.550049632787704468e-01
8.318189620971679688e+00,1.167497634887695312e+01,9.399034500122070312e+00,1.258696913719177246e+00,7.817931771278381348e-01,8.595837354660034180e-01
4.786155700683593750e+00,9.914945602416992188e+00,5.204251289367675781e+00,1.709620475769042969e+00,8.707012534141540527e-01,6.002275347709655762e-01
1.667137622833251953e+00,2.025019168853759766e+00,1.134948015213012695e+00,3.218736946582794189e-01,1.306589245796203613e-01,1.434773486107587814e-02
3.034186363220214844e-01,1.114567741751670837e-01,3.659830614924430847e-02,1.498936209827661514e-02,5.797634832561016083e-03,2.802351489663124084e-03
5.364154577255249023e-01,6.869642734527587891e-01,2.947287261486053467e-01,6.898561120033264160e-02,5.224466696381568909e-02,2.199638448655605316e-02
5.220829248428344727e-01,4.093658328056335449e-01,2.770438194274902344e-01,7.105011492967605591e-02,9.348406642675399780e-02,4.579689353704452515e-02
2.276145935058593750e+00,4.001935005187988281e+00,2.647103309631347656e+00,7.174342274665832520e-01,1.426036059856414795e-01,5.493221059441566467e-02
1.297843456268310547e+00,1.316737055778503418e+00,4.142844676971435547e-01,1.027361303567886353e-01,4.860388487577438354e-02,1.906728185713291168e-02
