1.467399709251274498e+00,2.787594211251824827e+00,5.972833061794452725e+00,4.842913732683589956e+01
6.056784797493341976e-01,1.472674367199747314e+00,5.435329355243648131e+00,3.732651772918463706e+01
1.626020805866761787e+00,2.919904017018012610e+00,5.136666967903529724e+00,3.396955253386104800e+01
8.605531327459312596e-01,1.933720985494191247e+00,7.465966422549106696e+00,7.860331034078556911e+01
4.233244632094571358e+00,1.151599020088435310e+01,8.410722939927744335e+00,1.003712938371500343e+02
1.303431423995714944e+01,2.329948259466488381e+01,4.573499311863667316e+00,3.108452285449672559e+01
4.822384362894099330e-01,1.195179488860622197e+00,7.175517906800917167e+00,6.707981329723865827e+01
3.565404416397668919e-01,9.080583448907693089e-01,6.276686257481359554e+00,4.909648976223397199e+01
1.226113001817168646e+00,2.515138036220224027e+00,5.504783473169408303e+00,3.809651898154094596e+01
2.450313456500278431e+00,5.127205843109990724e+00,5.929708006128794118e+00,4.710060663393680613e+01
2.307276135680331741e+00,4.214543934688714799e+00,4.966862603864734105e+00,3.191139615624587123e+01
8.534203027849508461e-01,2.136740441838472560e+00,5.448776831698210366e+00,3.800487114059981053e+01
2.383782739919907967e-01,6.467138905674872928e-01,8.162223659023869260e+00,9.487210548856072023e+01
5.296268972579090129e-01,1.175087502024015462e+00,5.866484854167745233e+00,4.433770695985180055e+01
5.476217296270036172e-01,1.057796870203790318e+00,5.352332641145819636e+00,4.232209517627338613e+01
1.225120097149134724e+00,2.887773499596280047e+00,5.122450179054652608e+00,3.287876217836766557e+01
6.533082249134215536e-01,1.665070879484860988e+00,6.120006634653911703e+00,4.898507320772187512e+01
4.212319003253697791e-01,9.197349191330398410e-01,8.999201532882565857e+00,1.313974797997832411e+02
3.131495797972640438e-01,8.104897275214079100e-01,6.926047709749374448e+00,6.501834996255200849e+01
4.096910810721580698e-01,9.983579279894232439e-01,5.697747942160375167e+00,4.102947307077253214e+01
1.878913222470053768e+00,4.299788638506001348e+00,5.313757248969196212e+00,3.624563208759795430e+01
